Comment,Designator,Footprint,LCSC
1u,"C1,C2,C8,C12",Capacitor_SMD:C_0402_1005Metric,C52923
4u7,C3,Capacitor_SMD:C_0603_1608Metric,C19666
100n,"C4,C5,C6,C7",Capacitor_SMD:C_0402_1005Metric,C1525
10n,C9,Capacitor_SMD:C_0402_1005Metric,C15195
30p,"C10,C11",Capacitor_SMD:C_0402_1005Metric,C1570
GREEN,D1,LED_SMD:LED_0603_1608Metric,C72043
WHITE,D2,LED_SMD:LED_0603_1608Metric,C2290
USB_C_Receptacle_USB2.0,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C709357
Conn_01x04,J2,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
PEC11R-4215F-S0024,MT1,DigiKey:XDCR_PEC11R-4215F-S0024,
5k1,"R1,R2",Resistor_SMD:R_0402_1005Metric,C25905
220,R3,Resistor_SMD:R_0402_1005Metric,C25091
100k,R4,Resistor_SMD:R_0402_1005Metric,C25741
1k5,R5,Resistor_SMD:R_0402_1005Metric,C25867
330,R6,Resistor_SMD:R_0402_1005Metric,C25104
SW_Push,"SW1,SW2,SW3,SW4",DigiKey:SW_TS02-66-43-BK-100-LCR-D,
SW_RST,SW5,JLCPCB:SMD-SW-4_5.1x5.1x1.5,C318884
XC6206P332MR,U1,Package_TO_SOT_SMD:SOT-23,C5446
SRV05-4,U2,Package_TO_SOT_SMD:SOT-23-6,C85364
STM32F103C8T6,U3,Package_QFP:LQFP-48_7x7mm_P0.5mm,C8734
8Mhz,Y1,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
